,job_in_apr,work_in_apr,src_income_before_apr,lost_income_in_apr,total_income_in_apr,uif_in_apr,grant_from_gov_ques,grant_from_gov
568,No,No,Income from employment,No,2700.0,No,Yes,Child Support Grant (CSG)
575,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
585,No,No,Government grants,Yes,1600.0,No,Yes,Child Support Grant (CSG)
586,No,No,Government grants,No,23000.0,Yes,Yes,Old Age Pension Grant (OAP)
591,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
604,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
607,No,No,Income from employment,Yes,,Yes,Yes,Child Support Grant (CSG)
608,No,No,Income from employment,Yes,,No,Yes,Child Support Grant (CSG)
611,No,No,Income from employment,Yes,1200.0,No,Yes,Child Support Grant (CSG)
624,No,No,Money from friends or family,Yes,4000.0,No,Yes,Child Support Grant (CSG)
631,No,No,Government grants,Yes,4000.0,Yes,Yes,Disability Grant
637,No,No,Government grants,No,,No,Yes,Disability Grant
669,No,No,Government grants,No,2300.0,No,Yes,Child Support Grant (CSG)
674,No,No,Income from a business,Yes,,Yes,Yes,Old Age Pension Grant (OAP)
679,No,Yes,Income from a business,No,1800.0,Yes,Yes,Old Age Pension Grant (OAP)
682,No,No,Government grants,No,2000.0,Yes,Yes,Old Age Pension Grant (OAP)
685,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
710,No,No,Government grants,No,4000.0,No,Yes,Disability Grant
713,No,No,Government grants,Yes,,Yes,Yes,Child Support Grant (CSG)
741,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
749,No,No,Government grants,Yes,1700.0,Yes,Yes,Old Age Pension Grant (OAP)
759,No,Yes,Government grants,Yes,,Yes,Yes,Old Age Pension Grant (OAP)
767,No,No,Government grants,No,4480.0,Yes,Yes,Disability Grant
770,No,Yes,Government grants,No,2880.0,Yes,Yes,Disability Grant
773,No,No,Government grants,No,2100.0,Yes,Yes,Old Age Pension Grant (OAP)
787,No,No,Government grants,Yes,2000.0,Yes,Yes,Child Support Grant (CSG)
789,No,No,Household had no income in February,No,,Yes,Yes,Old Age Pension Grant (OAP)
794,No,No,Government grants,Yes,2500.0,Yes,Yes,Old Age Pension Grant (OAP)
796,No,No,Government grants,Yes,3400.0,Yes,Yes,Old Age Pension Grant (OAP)
801,No,No,Government grants,No,1400.0,No,Yes,Child Support Grant (CSG)
805,No,No,Government grants,No,1700.0,Yes,Yes,Old Age Pension Grant (OAP)
812,No,No,Government grants,Yes,,Yes,Yes,Old Age Pension Grant (OAP)
817,No,No,Income from employment,Yes,2000.0,No,Yes,Old Age Pension Grant (OAP)
822,No,No,Government grants,Yes,5000.0,Yes,Yes,Old Age Pension Grant (OAP)
825,No,No,Household had no income in February,No,,Yes,Yes,Old Age Pension Grant (OAP)
830,No,No,Government grants,No,1780.0,Yes,Yes,Old Age Pension Grant (OAP)
831,No,No,Government grants,Yes,880.0,Yes,Yes,Child Support Grant (CSG)
833,No,No,Income from a business,No,,Yes,Yes,Child Support Grant (CSG)
834,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
841,No,Yes,Government grants,Yes,1700.0,Yes,Yes,Old Age Pension Grant (OAP)
846,No,No,Income from a business,Yes,2110.0,No,Yes,Old Age Pension Grant (OAP)
849,No,No,Income from employment,Yes,15000.0,Yes,Yes,Other (specify)
854,No,No,Government grants,Yes,1480.0,Yes,Yes,Old Age Pension Grant (OAP)
859,No,No,Government grants,Yes,2080.0,Yes,Yes,Old Age Pension Grant (OAP)
862,No,No,Government grants,No,16000.0,No,Yes,Old Age Pension Grant (OAP)
868,No,No,Income from employment,Yes,4500.0,Yes,Yes,Child Support Grant (CSG)
887,No,No,Government grants,No,2100.0,Yes,Yes,Old Age Pension Grant (OAP)
890,No,No,Government grants,No,2940.0,No,Yes,Disability Grant
892,No,No,Government grants,Yes,1200.0,No,Yes,Child Support Grant (CSG)
897,No,No,Income from a business,Yes,1260.0,Yes,Yes,Child Support Grant (CSG)
925,No,Yes,Income from employment,Yes,0.0,Yes,Yes,R350 COVID-19 Social Relief of Distress Grant
939,No,No,Government grants,Yes,,No,Yes,Other (specify)
943,No,No,Government grants,Yes,,No,Yes,Child Support Grant (CSG)
954,No,No,Government grants,Yes,,Yes,Yes,Care Dependency Grant
957,No,No,Government grants,No,2100.0,Yes,Yes,Child Support Grant (CSG)
971,No,No,Government grants,No,3200.0,Yes,Yes,Child Support Grant (CSG)
980,No,No,Government grants,No,1750.0,No,Yes,Old Age Pension Grant (OAP)
993,No,No,Government grants,No,2050.0,No,Yes,Old Age Pension Grant (OAP)
995,No,No,Government grants,Yes,,Yes,Yes,Old Age Pension Grant (OAP)
1004,No,No,Government grants,No,,No,Yes,Child Support Grant (CSG)
1012,No,No,Government grants,No,,Yes,Yes,Foster Child Grant
1015,No,No,Income from employment,Yes,,Yes,Yes,Other (specify)
1023,No,Yes,Government grants,Yes,2000.0,Yes,Yes,Care Dependency Grant
1024,No,No,Government grants,No,5000.0,Yes,Yes,Old Age Pension Grant (OAP)
1036,No,No,Government grants,No,5600.0,Yes,Yes,Old Age Pension Grant (OAP)
1040,No,No,Government grants,Yes,2450.0,Yes,Yes,Disability Grant
1043,No,No,Government grants,Yes,,No,Yes,Child Support Grant (CSG)
1045,No,No,Government grants,No,1500.0,No,Yes,Child Support Grant (CSG)
1054,No,No,Income from employment,No,1700.0,Yes,Yes,Old Age Pension Grant (OAP)
1064,No,No,Income from employment,Yes,700.0,No,Yes,Child Support Grant (CSG)
1084,No,No,Government grants,Yes,4500.0,Yes,Yes,Foster Child Grant
1085,No,No,Household had no income in February,No,2100.0,Yes,Yes,Child Support Grant (CSG)
1100,No,No,Income from employment,Yes,,No,Yes,Child Support Grant (CSG)
1123,No,Yes,Income from a business,No,880.0,Yes,Yes,Child Support Grant (CSG)
1126,No,No,Government grants,No,4000.0,No,Yes,Child Support Grant (CSG)
1136,No,No,Government grants,No,200.0,Yes,Yes,Disability Grant
1150,No,No,Government grants,No,5500.0,Yes,Yes,Old Age Pension Grant (OAP)
1151,No,No,Government grants,No,3520.0,No,Yes,Old Age Pension Grant (OAP)
1153,No,No,Income from employment,Yes,12000.0,No,Yes,Other (specify)
1154,No,No,Money from friends or family,Yes,6000.0,Yes,Yes,Disability Grant
1158,No,No,Income from employment,No,,Yes,Yes,Child Support Grant (CSG)
1166,No,No,Money from friends or family,No,2900.0,Yes,Yes,Child Support Grant (CSG)
1171,No,No,Money from friends or family,Yes,3000.0,Yes,Yes,Child Support Grant (CSG)
1172,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
1178,No,No,Government grants,No,3740.0,No,Yes,Child Support Grant (CSG)
1179,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
1185,No,No,Household had no income in February,Yes,,Yes,Yes,Old Age Pension Grant (OAP)
1193,No,No,Government grants,Yes,,Yes,Yes,Old Age Pension Grant (OAP)
1197,No,No,Income from employment,Yes,,Yes,Yes,Child Support Grant (CSG)
1206,No,No,Government grants,No,2200.0,Yes,Yes,Old Age Pension Grant (OAP)
1229,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
1230,No,No,Government grants,Yes,4200.0,Yes,Yes,Old Age Pension Grant (OAP)
1231,No,No,Government grants,No,3720.0,Yes,Yes,Old Age Pension Grant (OAP)
1242,No,No,Government grants,No,0.0,No,Yes,Care Dependency Grant
1257,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
1267,No,No,Government grants,No,5000.0,Yes,Yes,Child Support Grant (CSG)
1270,No,No,Government grants,No,2600.0,No,Yes,Child Support Grant (CSG)
1272,No,No,Government grants,Yes,2200.0,Yes,Yes,Old Age Pension Grant (OAP)
1288,No,No,Government grants,No,4000.0,Yes,Yes,Old Age Pension Grant (OAP)
1289,No,No,Government grants,No,900.0,No,Yes,Child Support Grant (CSG)
1301,No,No,Government grants,No,4200.0,Yes,Yes,Old Age Pension Grant (OAP)
1302,No,No,Government grants,No,1800.0,Yes,Yes,Old Age Pension Grant (OAP)
1305,No,No,Household had no income in February,No,2950.0,Yes,Yes,Old Age Pension Grant (OAP)
1325,No,No,Government grants,Yes,3400.0,Yes,Yes,Old Age Pension Grant (OAP)
1343,No,No,Government grants,No,,Yes,Yes,R350 COVID-19 Social Relief of Distress Grant
1359,No,Yes,Government grants,No,2350.0,Yes,Yes,Social relief or distress grant
1369,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
1371,No,No,Income from employment,Yes,3000.0,Yes,Yes,Child Support Grant (CSG)
1376,No,No,Household had no income in February,Yes,1600.0,Yes,Yes,Child Support Grant (CSG)
1378,No,No,Income from a business,No,,Yes,Yes,Old Age Pension Grant (OAP)
1382,No,No,Income from a business,Yes,,Yes,Yes,Child Support Grant (CSG)
1396,No,No,Income from employment,Yes,,Yes,Yes,Child Support Grant (CSG)
1416,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
1423,No,No,Government grants,No,800.0,No,Yes,Child Support Grant (CSG)
1438,No,No,Government grants,Yes,3480.0,No,Yes,Old Age Pension Grant (OAP)
1442,No,No,Government grants,No,500.0,Yes,Yes,Child Support Grant (CSG)
1443,No,No,Government grants,No,2240.0,Yes,Yes,Disability Grant
1450,No,No,Government grants,No,3600.0,Yes,Yes,Old Age Pension Grant (OAP)
1472,No,No,Income from employment,No,3500.0,Yes,Yes,Child Support Grant (CSG)
1487,No,No,Government grants,No,3400.0,Yes,Yes,Old Age Pension Grant (OAP)
1493,No,No,Government grants,Yes,,Yes,Yes,R350 COVID-19 Social Relief of Distress Grant
1495,No,Yes,Money from friends or family,Yes,7000.0,Yes,Yes,R350 COVID-19 Social Relief of Distress Grant
1520,No,No,Government grants,No,1500.0,Yes,Yes,Other (specify)
1532,No,No,Government grants,Yes,2500.0,No,Yes,Foster Child Grant
1533,No,No,Income from employment,No,0.0,No,Yes,Child Support Grant (CSG)
1563,No,No,Income from employment,Yes,,No,Yes,Old Age Pension Grant (OAP)
1569,No,No,Income from employment,No,950.0,Yes,Yes,Care Dependency Grant
1570,No,No,Income from employment,No,,Yes,Yes,Other (specify)
1574,No,No,Income from employment,Yes,1800.0,No,Yes,Child Support Grant (CSG)
1578,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
1583,No,No,Government grants,Yes,,Yes,Yes,Old Age Pension Grant (OAP)
1590,No,No,Government grants,Yes,600.0,No,Yes,Old Age Pension Grant (OAP)
1605,No,No,Household had no income in February,Yes,800.0,Yes,Yes,Child Support Grant (CSG)
1627,No,No,Income from employment,No,5000.0,Yes,Yes,Old Age Pension Grant (OAP)
1646,No,No,Government grants,Yes,2100.0,No,Yes,Disability Grant
1647,No,Yes,Government grants,No,3000.0,Yes,Yes,Foster Child Grant
1651,No,No,Government grants,No,2500.0,Yes,Yes,Old Age Pension Grant (OAP)
1664,No,No,Government grants,No,2000.0,Yes,Yes,Old Age Pension Grant (OAP)
1683,No,No,Government grants,Yes,945.0,Yes,Yes,Child Support Grant (CSG)
1688,No,No,Government grants,Yes,,Yes,Yes,Child Support Grant (CSG)
1689,No,No,Money from friends or family,No,3000.0,Yes,Yes,Disability Grant
1690,No,No,Government grants,No,1500.0,Yes,Yes,Child Support Grant (CSG)
1693,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
1694,No,No,Government grants,No,1000.0,Yes,Yes,Child Support Grant (CSG)
1696,No,No,Government grants,No,2000.0,Yes,Yes,Old Age Pension Grant (OAP)
1705,No,No,Government grants,No,1780.0,No,Yes,Old Age Pension Grant (OAP)
1712,No,No,Income from employment,No,900.0,No,Yes,Old Age Pension Grant (OAP)
1716,No,No,Government grants,No,2100.0,Yes,Yes,Child Support Grant (CSG)
1722,No,No,Government grants,No,2180.0,Yes,Yes,Old Age Pension Grant (OAP)
1730,No,No,Income from a business,No,,No,Yes,R350 COVID-19 Social Relief of Distress Grant
1744,No,No,Government grants,No,2110.0,Yes,Yes,Old Age Pension Grant (OAP)
1768,No,No,Government grants,No,3000.0,Yes,Yes,Old Age Pension Grant (OAP)
1784,No,No,Government grants,No,300.0,No,Yes,Child Support Grant (CSG)
1793,No,No,Government grants,Yes,2000.0,Yes,Yes,Child Support Grant (CSG)
1794,No,No,Government grants,Yes,1750.0,Yes,Yes,Old Age Pension Grant (OAP)
1795,No,No,Government grants,No,,No,Yes,R350 COVID-19 Social Relief of Distress Grant
1799,No,No,Income from employment,No,,Yes,Yes,Care Dependency Grant
1810,No,No,Government grants,No,0.0,Yes,Yes,Child Support Grant (CSG)
1814,No,No,Government grants,Yes,2000.0,Yes,Yes,Child Support Grant (CSG)
1816,No,No,Government grants,Yes,1800.0,No,Yes,Social relief or distress grant
1824,No,No,Government grants,Yes,2800.0,No,Yes,Old Age Pension Grant (OAP)
1826,No,No,Government grants,No,2000.0,Yes,Yes,Old Age Pension Grant (OAP)
1835,No,No,Government grants,No,,No,Yes,Child Support Grant (CSG)
1841,No,No,Government grants,Yes,1700.0,No,Yes,Disability Grant
1846,No,No,Household had no income in February,No,1300.0,Yes,Yes,Child Support Grant (CSG)
1852,No,No,Government grants,No,4840.0,Yes,Yes,Child Support Grant (CSG)
1854,No,No,Government grants,Yes,,No,Yes,Child Support Grant (CSG)
1856,No,No,Income from employment,Yes,,No,Yes,Child Support Grant (CSG)
1857,No,No,Government grants,No,750.0,Yes,Yes,Child Support Grant (CSG)
1860,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
1863,No,No,Government grants,No,,No,Yes,Child Support Grant (CSG)
1875,No,No,Government grants,No,0.0,Yes,Yes,Child Support Grant (CSG)
1877,No,No,Household had no income in February,Yes,,No,Yes,Child Support Grant (CSG)
1881,No,No,Government grants,Yes,,Yes,Yes,Child Support Grant (CSG)
1882,No,No,Government grants,No,3500.0,Yes,Yes,Child Support Grant (CSG)
1891,No,No,Government grants,Yes,3100.0,Yes,Yes,Old Age Pension Grant (OAP)
1897,No,No,Income from employment,Yes,2700.0,No,Yes,Child Support Grant (CSG)
1898,No,No,Household had no income in February,No,440.0,No,Yes,Child Support Grant (CSG)
1899,No,No,Government grants,No,3760.0,Yes,Yes,Old Age Pension Grant (OAP)
1907,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
1916,No,Yes,Income from employment,Yes,1000.0,Yes,Yes,Child Support Grant (CSG)
1918,No,No,Government grants,Yes,2680.0,No,Yes,Child Support Grant (CSG)
1934,No,Yes,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
1935,No,Yes,Income from a business,Yes,3800.0,Yes,Yes,Disability Grant
1938,No,No,Government grants,Yes,,No,Yes,Child Support Grant (CSG)
1957,No,No,Income from a business,Yes,440.0,No,Yes,Child Support Grant (CSG)
1966,No,No,Government grants,No,,No,Yes,Child Support Grant (CSG)
1968,No,No,Government grants,No,800.0,No,Yes,Child Support Grant (CSG)
1982,No,No,Income from employment,No,,Yes,Yes,Old Age Pension Grant (OAP)
1988,No,Yes,Income from a business,No,4000.0,Yes,Yes,Child Support Grant (CSG)
2000,No,No,Government grants,Yes,1700.0,No,Yes,Old Age Pension Grant (OAP)
2001,No,No,Government grants,Yes,,No,Yes,Child Support Grant (CSG)
2036,No,No,Government grants,No,0.0,No,Yes,Child Support Grant (CSG)
2041,No,No,Income from a business,Yes,600.0,No,Yes,Disability Grant
2044,No,No,Household had no income in February,No,440.0,Yes,Yes,Child Support Grant (CSG)
2053,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
2058,No,No,Government grants,Yes,1000.0,Yes,Yes,Child Support Grant (CSG)
2066,No,No,Income from employment,No,,No,Yes,R350 COVID-19 Social Relief of Distress Grant
2076,No,No,Government grants,Yes,1500.0,Yes,Yes,Old Age Pension Grant (OAP)
2081,No,No,Household had no income in February,No,0.0,Yes,Yes,Child Support Grant (CSG)
2089,No,No,Income from employment,Yes,,Yes,Yes,Child Support Grant (CSG)
2092,No,No,Government grants,Yes,,Yes,Yes,Old Age Pension Grant (OAP)
2101,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
2105,No,No,Government grants,Yes,1700.0,Yes,Yes,Old Age Pension Grant (OAP)
2115,No,No,Government grants,Yes,750.0,No,Yes,Child Support Grant (CSG)
2117,No,No,Government grants,No,1600.0,No,Yes,Disability Grant
2121,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
2141,No,No,Government grants,Yes,2000.0,Yes,Yes,Old Age Pension Grant (OAP)
2143,No,No,Government grants,No,2500.0,Yes,Yes,Old Age Pension Grant (OAP)
2148,No,No,Government grants,Yes,,No,Yes,Old Age Pension Grant (OAP)
2149,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
2151,No,No,Government grants,No,1700.0,No,Yes,Old Age Pension Grant (OAP)
2174,No,No,Government grants,Yes,1500.0,Yes,Yes,Child Support Grant (CSG)
2175,No,No,Government grants,Yes,1850.0,Yes,Yes,Old Age Pension Grant (OAP)
2178,No,No,Household had no income in February,Yes,0.0,No,Yes,Child Support Grant (CSG)
2180,No,No,Government grants,No,940.0,No,Yes,Child Support Grant (CSG)
2187,No,No,Government grants,Yes,,No,Yes,Child Support Grant (CSG)
2188,No,No,Government grants,Yes,2200.0,Yes,Yes,Child Support Grant (CSG)
2194,No,No,Income from employment,No,,No,Yes,Disability Grant
2197,No,No,Government grants,No,0.0,Yes,Yes,Child Support Grant (CSG)
2208,No,No,Government grants,Yes,,No,Yes,Child Support Grant (CSG)
2209,No,No,Government grants,Yes,,Yes,Yes,Child Support Grant (CSG)
2213,No,No,Government grants,Yes,4400.0,Yes,Yes,Child Support Grant (CSG)
2217,No,No,Income from a business,Yes,,No,Yes,Child Support Grant (CSG)
2231,No,No,Government grants,No,4700.0,Yes,Yes,Old Age Pension Grant (OAP)
2232,No,No,Government grants,Yes,1600.0,Yes,Yes,Child Support Grant (CSG)
2233,No,No,Government grants,No,3780.0,Yes,Yes,Child Support Grant (CSG)
2244,No,No,Income from employment,Yes,800.0,No,Yes,Child Support Grant (CSG)
2248,No,No,Government grants,Yes,,No,Yes,Old Age Pension Grant (OAP)
2251,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
2253,No,No,Money from friends or family,Yes,,Yes,Yes,Other (specify)
2254,No,No,Government grants,Yes,1520.0,Yes,Yes,Child Support Grant (CSG)
2256,No,No,Government grants,Yes,750.0,Yes,Yes,Child Support Grant (CSG)
2271,No,No,Income from employment,No,780.0,Yes,Yes,Child Support Grant (CSG)
2272,No,No,Household had no income in February,No,440.0,Yes,Yes,Child Support Grant (CSG)
2275,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
2281,No,No,Government grants,Yes,1800.0,Yes,Yes,Disability Grant
2282,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
2286,No,No,Government grants,No,1700.0,Yes,Yes,Disability Grant
2288,No,No,Household had no income in February,No,2000.0,No,Yes,Old Age Pension Grant (OAP)
2295,No,No,Government grants,No,3450.0,Yes,Yes,Child Support Grant (CSG)
2298,No,No,Government grants,No,3480.0,No,Yes,Child Support Grant (CSG)
2314,No,No,Government grants,No,2730.0,Yes,Yes,Old Age Pension Grant (OAP)
2317,No,No,Income from employment,Yes,2900.0,No,Yes,Child Support Grant (CSG)
2320,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
2328,No,No,Government grants,Yes,1800.0,Yes,Yes,Old Age Pension Grant (OAP)
2337,No,No,Government grants,Yes,6000.0,No,Yes,Disability Grant
2338,No,No,Government grants,Yes,5000.0,Yes,Yes,Old Age Pension Grant (OAP)
2344,No,No,Government grants,No,,No,Yes,Child Support Grant (CSG)
2351,No,No,Income from employment,Yes,1500.0,No,Yes,Child Support Grant (CSG)
2354,No,No,Government grants,Yes,,Yes,Yes,Child Support Grant (CSG)
2356,No,No,Money from friends or family,No,15000.0,No,Yes,Child Support Grant (CSG)
2357,No,No,Government grants,No,3550.0,Yes,Yes,Child Support Grant (CSG)
2366,No,No,Income from a business,Yes,1740.0,No,Yes,Child Support Grant (CSG)
2368,No,No,Government grants,Yes,0.0,Yes,Yes,Child Support Grant (CSG)
2371,No,No,Government grants,No,,No,Yes,Child Support Grant (CSG)
2376,No,No,Government grants,No,1880.0,Yes,Yes,Old Age Pension Grant (OAP)
2390,No,No,Income from a business,Yes,,Yes,Yes,Child Support Grant (CSG)
2394,No,No,Government grants,Yes,,No,Yes,Child Support Grant (CSG)
2404,No,No,Government grants,No,6200.0,Yes,Yes,Child Support Grant (CSG)
2405,No,No,Income from employment,Yes,1500.0,No,Yes,Child Support Grant (CSG)
2406,No,No,Government grants,No,0.0,Yes,Yes,Child Support Grant (CSG)
2411,No,No,Household had no income in February,Yes,0.0,No,Yes,Child Support Grant (CSG)
2412,No,No,Income from employment,No,1400.0,No,Yes,Child Support Grant (CSG)
2418,No,No,Government grants,No,3300.0,Yes,Yes,Child Support Grant (CSG)
2424,No,No,Government grants,No,740.0,Yes,Yes,Child Support Grant (CSG)
2442,No,No,Income from employment,Yes,1200.0,No,Yes,Child Support Grant (CSG)
2445,No,No,Income from a business,No,,Yes,Yes,Care Dependency Grant
2455,No,No,Government grants,Yes,440.0,Yes,Yes,Child Support Grant (CSG)
2462,No,No,Government grants,Yes,1050.0,Yes,Yes,Old Age Pension Grant (OAP)
2473,No,No,Income from a business,Yes,,No,Yes,Child Support Grant (CSG)
2479,No,No,Government grants,No,1900.0,No,Yes,Old Age Pension Grant (OAP)
2485,No,No,Income from employment,Yes,,Yes,Yes,Child Support Grant (CSG)
2487,No,No,Government grants,No,300.0,Yes,Yes,Child Support Grant (CSG)
2492,No,No,Household had no income in February,No,0.0,Yes,Yes,Old Age Pension Grant (OAP)
