job_in_feb,work_in_feb,bus_in_feb,work_days_feb,work_hours_feb,take_home_pay_feb,job_in_apr,work_in_apr,bus_in_apr,work_days_apr,work_hours_apr,take_home_pay_apr,last_monthly_pay_apr,return_to_work,main_form_work,usual_work
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,2143.0,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,0.0,0.0,,,Yes,Regular job,Professionals
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
Yes,,,7.0,,,No,No,No - I did nothing,,,,,Yes,Self-employed,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,7000.0,Yes,,,5.0,8.0,,,,Regular job,Craft and related trades workers
,,,,,,Yes,,,5.0,8.0,,,,Casual work,Craft and related trades workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,7.0,17000.0,No,No,No - I'm employed,0.0,0.0,,17000.0,,Regular job,Professionals
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
Yes,,,7.0,10.0,2500.0,No,No,No - I did nothing,,,,,No,,
Yes,,,7.0,8.0,3800.0,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
Yes,,,5.0,11.0,7000.0,Yes,,,5.0,11.0,,,,Regular job,Service and sales workers
Yes,,,4.0,5.0,1800.0,Yes,,,,,,,,Regular job,Elementary occupations
No,Yes,,3.0,8.0,500.0,No,No,Yes,,,400.0,,,Self-employed,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,Yes,,,,1300.0,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,9.0,,Yes,,,5.0,9.0,,,,Regular job,Service and sales workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
,,,,,,,,,,,,,,,
No,Yes,,,,250.0,No,No,No - I did nothing,,,,,No,,
Yes,,,4.0,8.0,780.0,Yes,,,4.0,8.0,,780.0,,Regular job,Elementary occupations
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
"No, I'm retired",,,,,,,,,,,,,,,
Yes,,,7.0,9.0,11000.0,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,7.0,,No,No,No - I did nothing,0.0,0.0,,,Yes,Regular job,Professionals
Yes,,,5.0,8.0,21000.0,Yes,,,5.0,8.0,,21000.0,,Regular job,Managers
No,No,Yes,7.0,10.0,10000.0,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,Yes,I run a business,
Yes,,,4.0,12.0,2000.0,No,No,No - I did nothing,,,,,Yes,Regular job,Craft and related trades workers
Yes,,,5.0,4.0,,Yes,,,,,,,,Regular job,Professionals
Yes,,,6.0,8.0,3000.0,Yes,,,6.0,8.0,,1000.0,,Casual work,Elementary occupations
Yes,,,2.0,8.0,,Yes,,,3.0,,,1700.0,,Casual work,Elementary occupations
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,Yes,,4.0,8.0,,,,Casual work,Service and sales workers
Yes,,,5.0,6.0,250.0,No,No,No - I did nothing,,,,,No,,
Yes,,,7.0,7.0,3900.0,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,4.0,8.0,3200.0,No,No,No - I did nothing,,,,2800.0,Yes,Regular job,Elementary occupations
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,Yes,2.0,6.0,300.0,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,9.0,1600.0,No,No,Yes,4.0,5.0,,,,Casual work,Service and sales workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,Yes,,2.0,6.0,500.0,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,Yes,5.0,7.0,,No,No,No - I did nothing,,,,,No,,
Yes,,,,,12.0,Yes,,,,,,,,Regular job,Service and sales workers
"No, I'm retired",,,,,,,,,,,,,,,
No,No,No - I did nothing,,,,Yes,,,5.0,8.0,,15200.0,,Regular job,Professionals
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,1500.0,Yes,Regular job,Craft and related trades workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
Yes,,,5.0,,3500.0,No,Yes,,2.0,,,,,Casual work,Craft and related trades workers
Yes,,,5.0,9.0,4200.0,Yes,,,5.0,8.0,,4200.0,,Regular job,Elementary occupations
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,Yes,Self-employed,
No,No,No - I did nothing,,,,No,No,No - I did nothing,2.0,5.0,,,Yes,Casual work,Elementary occupations
Yes,,,4.0,12.0,5000.0,Yes,,,4.0,12.0,,400.0,,Casual work,Service and sales workers
No,No,No - I did nothing,,,,No,No,No - I'm employed,,,,,,Casual work,Not applicable
Yes,,,5.0,8.0,8000.0,No,No,No - I did nothing,0.0,8.0,,4000.0,Yes,Regular job,Craft and related trades workers
Yes,,,7.0,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,Yes,0.0,0.0,0.0,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,6.0,12.0,3400.0,No,No,Yes,0.0,0.0,,0.0,,Regular job,Service and sales workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,6.0,9.0,17000.0,No,Yes,,,,150.0,,,Self-employed,
Yes,,,7.0,,2000.0,Yes,,,7.0,,,,,Regular job,Technicians and associate professionals
Yes,,,,,,Yes,,,,,,11000.0,,Regular job,Service and sales workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,2.0,8.0,2500.0,No,No,Yes,,,1200.0,,,Self-employed,
Yes,,,5.0,8.0,380.0,No,No,Yes,,,400.0,,,I run a business,
Yes,,,5.0,8.0,13000.0,Yes,,,0.0,0.0,,13000.0,,Regular job,Clerical support workers
No,Yes,,2.0,8.0,71.0,No,No,Yes,,,250.0,,,Self-employed,
No,Yes,,,,780.0,Yes,,,4.0,8.0,,780.0,,Regular job,Elementary occupations
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,Yes,,5.0,12.0,900.0,No,No,No - I did nothing,5.0,12.0,,1200.0,Yes,Casual work,"Skilled agricultural, forestry and fishery workers"
No,No,Yes,1.0,2.0,50.0,No,No,No - I did nothing,,,,780.0,Yes,Regular job,Elementary occupations
Yes,,,2.0,6.0,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,7.0,8.0,3800.0,No,No,No - I did nothing,,,,0.0,Yes,Regular job,Elementary occupations
Yes,,,5.0,8.0,1500.0,No,No,No - I'm employed,,,,1500.0,,Regular job,Professionals
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,4.0,4.0,7000.0,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,6.0,1000.0,No,Yes,,,,,1000.0,,Casual work,Elementary occupations
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,800.0,No,No,Yes,4.0,4.0,,,,Casual work,Elementary occupations
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,0.0,,,,Yes,Casual work,"Plant and machine operators, and assemblers"
Yes,,,6.0,8.0,500.0,No,No,No - I did nothing,,,,,No,,
Yes,,,7.0,12.0,,Yes,,,7.0,12.0,,,,Regular job,Professionals
No,No,No - I'm employed,0.0,0.0,,No,,No - I'm employed,0.0,0.0,,,,,Not Employed
,,No - I did nothing,,,,,,No - I did nothing,,,,,,,
Yes,,,2.0,8.0,2000.0,No,No,No - I did nothing,,,,780.0,Yes,Casual work,Elementary occupations
Yes,,,4.0,12.0,2800.0,Yes,,,4.0,,,,,Regular job,Craft and related trades workers
Yes,,,7.0,10.0,5100.0,Yes,,,7.0,10.0,,,,Regular job,"Skilled agricultural, forestry and fishery workers"
Yes,,,2.0,7.0,700.0,No,No,No - I did nothing,2.0,7.0,,,Yes,Casual work,Elementary occupations
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,Yes,,,7.0,8.0,,9000.0,,Regular job,Technicians and associate professionals
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,2.0,7.0,380.0,No,No,No - I did nothing,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,6.0,8.0,4500.0,No,No,No - I did nothing,,,,3000.0,Yes,Regular job,Service and sales workers
Yes,,,5.0,8.0,12000.0,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,Yes,,2.0,10.0,,,,Regular job,Service and sales workers
Yes,,,2.0,6.0,780.0,Yes,,,2.0,6.0,,780.0,,Casual work,Technicians and associate professionals
Yes,,,,,,Yes,,,,,,,,Regular job,Service and sales workers
No,No,No - I'm employed,5.0,8.0,1500.0,No,No,No - I'm employed,0.0,0.0,,1500.0,,Casual work,Not Employed
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,,,0.0,No,No,No - I did nothing,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,3500.0,Yes,,,3.0,8.0,,3500.0,,Casual work,Craft and related trades workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,12.0,1500.0,No,No,No - I did nothing,,,,,Yes,Regular job,Elementary occupations
Yes,,,5.0,9.0,,No,No,No - I'm employed,,,,400.0,,Regular job,Craft and related trades workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,2.0,12.0,1000.0,No,No,No - I did nothing,0.0,0.0,,,Yes,Casual work,Service and sales workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,4.0,12.0,3900.0,Yes,,,4.0,12.0,,4200.0,,Regular job,Service and sales workers
Yes,,,5.0,8.0,,Yes,,,,,,,,Regular job,Craft and related trades workers
Yes,,,5.0,8.0,,Yes,,,5.0,8.0,,,,Regular job,Clerical support workers
Yes,,,5.0,9.0,7000.0,No,No,No - I did nothing,,,,,No,,
Yes,,,2.0,,,Yes,,,,,3000.0,,,Self-employed,
Yes,,,7.0,8.0,3500.0,Yes,,,2.0,8.0,,1200.0,,Regular job,"Plant and machine operators, and assemblers"
Yes,,,5.0,9.0,1300.0,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,7.0,9.0,13000.0,Yes,,,3.0,6.0,,5500.0,,Regular job,Managers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,,,,Yes,,,,,,,,Casual work,Technicians and associate professionals
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,,Yes,,,0.0,0.0,,,,Casual work,"Plant and machine operators, and assemblers"
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,0.0,Yes,Casual work,Service and sales workers
Yes,,,7.0,12.0,4800.0,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,3500.0,Yes,,,5.0,8.0,,3500.0,,Regular job,Elementary occupations
Yes,,,6.0,6.0,5280.0,No,No,No - I did nothing,,,,,No,,
Yes,,,7.0,,1500.0,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,,No,No,No - I did nothing,,,,,No,,
Yes,,,7.0,8.0,3300.0,Yes,,,0.0,0.0,,0.0,,Regular job,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,Yes,,,4.0,12.0,,,,Regular job,Service and sales workers
No,Yes,,3.0,4.0,,No,No,No - I did nothing,,,,,Yes,Self-employed,
Yes,,,6.0,8.0,,Yes,,,,,,,,Self-employed,
"No, I'm retired",,,,,,,,,,,,,,,
Yes,,,7.0,15.0,5000.0,Yes,,,7.0,8.0,,2500.0,,Regular job,Service and sales workers
Yes,,,5.0,8.0,3500.0,No,No,No - I did nothing,,,,,Yes,Self-employed,
Yes,,,3.0,5.0,2200.0,Yes,,,3.0,5.0,,2200.0,,Regular job,Elementary occupations
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,7.0,8.0,,Yes,,,7.0,8.0,,,,Regular job,"Plant and machine operators, and assemblers"
Yes,,,7.0,8.0,3200.0,Yes,,,7.0,8.0,,3200.0,,Regular job,Service and sales workers
Yes,,,5.0,7.0,22000.0,Yes,,,0.0,0.0,,22000.0,,Regular job,Professionals
No,No,No - I did nothing,,,,No,No,No - I'm employed,,,,,,,Not Employed
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,8000.0,No,No,No - I'm employed,0.0,0.0,,0.0,,Casual work,Craft and related trades workers
Yes,,,7.0,8.0,,No,No,No - I did nothing,0.0,0.0,,,Yes,Regular job,Service and sales workers
Yes,,,5.0,6.0,,Yes,,,5.0,,,,,Casual work,Service and sales workers
No,No,No - I did nothing,,,,Yes,,,5.0,,,,,Casual work,Craft and related trades workers
Yes,,,3.0,5.0,900.0,Yes,,,0.0,0.0,,0.0,,Casual work,Clerical support workers
Yes,,,5.0,8.0,,No,No,No - I did nothing,,,,,Yes,Casual work,Elementary occupations
"No, I'm retired",,,,,,,,,,,,,,,
Yes,,,7.0,10.0,8500.0,Yes,,,7.0,10.0,,8500.0,,Regular job,Service and sales workers
No,Yes,,5.0,8.0,4000.0,Yes,,,6.0,9.0,,7000.0,,Regular job,Service and sales workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,,,,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
"No, I'm retired",,,,,,,,,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,4000.0,Yes,,,0.0,0.0,,,,Regular job,
No,Yes,,7.0,8.0,1600.0,No,No,No - I'm employed,,,,,,Self-employed,
"No, I'm retired",,,,,,,,,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,7.0,5200.0,No,No,No - I did nothing,,,,,Yes,Regular job,"Plant and machine operators, and assemblers"
Yes,,,5.0,8.0,15000.0,No,No,No - I'm employed,,,,15000.0,,Regular job,Professionals
No,No,No - I'm employed,,,,No,Yes,,,,3000.0,,,I run a business,
Yes,,,5.0,8.0,,Yes,,,5.0,8.0,,22000.0,,Regular job,Professionals
Yes,,,5.0,8.0,5000.0,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,9.0,4000.0,No,No,No - I did nothing,0.0,0.0,,,Yes,Regular job,Clerical support workers
Yes,,,2.0,3.0,1000.0,No,No,No - I'm employed,,,,,,Casual work,Elementary occupations
Yes,,,6.0,9.0,1000.0,No,No,No - I did nothing,5.0,8.0,,,Yes,Regular job,Craft and related trades workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,0.0,0.0,,,Yes,Casual work,Clerical support workers
Yes,,,6.0,8.0,4500.0,Yes,,,,,,4500.0,,Regular job,Craft and related trades workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,5.0,2200.0,No,No,No - I did nothing,0.0,0.0,,1200.0,Yes,Regular job,Elementary occupations
Yes,,,3.0,7.0,2000.0,No,No,No - I did nothing,0.0,0.0,,2000.0,Yes,Regular job,Elementary occupations
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,12.0,,No,No,No - I did nothing,,,,,,,
Yes,,,7.0,5.0,10000.0,,,,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,6.0,9.0,4300.0,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,10.0,4000.0,No,No,No - I'm employed,,,,4000.0,,Regular job,Managers
Yes,,,5.0,6.0,,Yes,,,5.0,6.0,,,,Regular job,Elementary occupations
Yes,,,5.0,4.0,,No,No,No - I did nothing,,,,,Yes,Self-employed,
Yes,,,5.0,9.0,2500.0,No,No,No - I'm employed,5.0,0.0,,0.0,,Regular job,
Yes,,,5.0,8.0,1500.0,No,No,No - I did nothing,,,,,Yes,Self-employed,
Yes,,,5.0,9.0,700.0,Yes,,,2.0,0.0,,700.0,,Casual work,Elementary occupations
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,Yes,,,5.0,9.0,,3500.0,,Casual work,"Skilled agricultural, forestry and fishery workers"
Yes,,,5.0,11.0,,Yes,,,3.0,11.0,,,,Regular job,"Skilled agricultural, forestry and fishery workers"
Yes,,,5.0,9.0,3700.0,Yes,,,5.0,9.0,,3700.0,,Regular job,Craft and related trades workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,Yes,,6.0,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,0.0,0.0,,2500.0,Yes,Casual work,Service and sales workers
Yes,,,5.0,8.0,4000.0,No,No,No - I'm employed,,,,4000.0,,Regular job,Elementary occupations
Yes,,,5.0,8.0,,Yes,,,5.0,8.0,,,,Regular job,Managers
No,No,No - I did nothing,,,,No,No,No - I did nothing,0.0,0.0,,1000.0,Yes,Regular job,Clerical support workers
Yes,,,,,,,,No - I did nothing,,,,10000.0,Yes,Regular job,"Plant and machine operators, and assemblers"
